1a5a990,CVE-2012-1179,mm/mincore.c,mincore_pmd_range,,,,,,,,,,
1a5a990,CVE-2012-1179,mm/pagewalk.c,walk_pmd_range,,,,,,,,,,
1a5a990,CVE-2012-1179,mm/swapfile.c,unuse_pmd_range,,,,,,,,,,
d50f2ab,CVE-2009-4307,fs/ext4/super.c,ext4_fill_flex_info,,,,,,,,,,
434a964,CVE-2011-2203,fs/hfs/btree.c,hfs_btree_open,,,,,,,,,,
3321c07,CVE-2011-1162,drivers/char/tpm/tpm.c,tpm_read,,,,,,,,,,
6b07d30,CVE-2011-1161,drivers/char/tpm/tpm.c,tpm_transmit,,,,,,,,,,
cae13fe4,CVE-2011-1017 ,fs/partitions/ldm.c,ldm_frag_add,,,,,,,,,,
313d7b0,CVE-2010-3699,drivers/xen/blkback/xenbus.c,frontend_changed,,,,,,,,,,
5883f57,CVE-2011-0726,fs/proc/array.c,do_task_stat,,,,,,,,,,
8909c9a,CVE-2011-1019,include/linux/netdevice.h,,,,,,,,,,,
8909c9a,CVE-2011-1019,net/core/dev.c,dev_load,,,,,,,,,,
8909c9a,CVE-2011-1019,net/ipv4/ip_gre.c,,,,,,,,,,,
8909c9a,CVE-2011-1019,net/ipv4/ipip.c,,,,,,,,,,,
8909c9a,CVE-2011-1019,net/ipv6/sit.c,,,,,,,,,,,
1362fa0,CVE-2011-1076,Documentation/networking/dns_resolver.txt,,,,,,,,,,,
1362fa0,CVE-2011-1076,net/dns_resolver/dns_key.c,dns_resolver_instantiate,dns_resolver_read,,,,,,,,,
1922756,CVE-2011-1013,drivers/gpu/drm/drm_irq.c,drm_modeset_ctl,,,,,,,,,,
1922756,CVE-2011-1013,include/drm/drmP.h,,,,,,,,,,,
9f260e0,CVE-2010-4565,net/can/bcm.c,bcm_connect,,,,,,,,,,
33dd94a,CVE-2010-3849,kernel/exit.c,do_exit,,,,,,,,,,
a27e13d,CVE-2010-3848,net/econet/af_econet.c,econet_sendmsg,,,,,,,,,,
16c4174,CVE-2010-3850,net/econet/af_econet.c,ec_dev_ioctl,,,,,,,,,,
fa0e846,CVE-2010-3849,net/econet/af_econet.c,econet_sendmsg,,,,,,,,,,
9581d44,CVE-2010-3698,arch/x86/include/asm/kvm_host.h,kvm_read_fs,kvm_read_gs,kvm_load_fs,kvm_load_gs,,,,,,,
9581d44,CVE-2010-3698,arch/x86/kvm/svm.c,svm_vcpu_run,,,,,,,,,,
9581d44,CVE-2010-3698,arch/x86/kvm/vmx.c,vmx_save_host_state,__vmx_load_host_state,vmx_vcpu_setup,,,,,,,,
ce9d419,CVE-2010-2962,drivers/gpu/drm/i915/i915_gem.c,i915_gem_pread_ioctl,i915_gem_gtt_pwrite_fast,i915_gem_pwrite_ioctl,,,,,,,,
3d96406,CVE-2010-2960,security/keys/keyctl.c,keyctl_session_to_parent,,,,,,,,,,
df09162,CVE-2010-3079,kernel/trace/ftrace.c,t_start,,,,,,,,,,
27f7ad5,CVE-2010-3080,sound/core/seq/oss/seq_oss_init.c,snd_seq_oss_open,delete_port,,,,,,,,,
b9f0aee,CVE-2010-2803,drivers/gpu/drm/drm_drv.c,drm_ioctl,,,,,,,,,,
a6f80fb,CVE-2010-2492,fs/ecryptfs/messaging.c,ecryptfs_init_messaging,ecryptfs_release_messaging,,,,,,,,,
4c0c03c,CVE-2010-2524,fs/cifs/cifsfs.c,init_cifs,exit_cifs,,,,,,,,,
4c0c03c,CVE-2010-2524,fs/cifs/dns_resolve.c,dns_resolve_server_name_to_ip,cifs_init_dns_resolver,cifs_exit_dns_resolver,,,,,,,,
4c0c03c,CVE-2010-2524,fs/cifs/dns_resolve.h,cifs_init_dns_resolver,cifs_exit_dns_resolver,,,,,,,,,
2e3219b,CVE-2010-1173,net/sctp/sm_make_chunk.c,sctp_init_cause_fixed,sctp_addto_chunk_fixed,,,,,,,,,
56151e7,CVE-2010-1446,arch/powerpc/mm/fsl_booke_mmu.c,settlbcam,,,,,,,,,,
5fa782c,CVE-2010-1173,include/net/sctp/structs.h,sctp_addto_chunk_fixed,,,,,,,,,,
5fa782c,CVE-2010-1173,net/sctp/sm_make_chunk.c,sctp_init_cause_fixed,sctp_make_op_error_fixed,sctp_addto_chunk_fixed,sctp_process_unk_param,,,,,,,
c0cd884,CVE-2009-4537,drivers/net/r8169.c,rtl8169_set_rxbufsize,rtl8169_open,rtl8169_change_mtu,,,,,,,,
b94b502,CVE-2009-4538,drivers/net/e1000e/e1000.h,,,,,,,,,,,
b94b502,CVE-2009-4538,drivers/net/e1000e/netdev.c,e1000_clean_rx_irq,e1000_clean_rx_irq_ps,e1000_clean_rx_ring,,,,,,,,
2570a4f,CVE-2007-4567,net/ipv6/exthdrs.c,ipv6_skb_net,ipv6_hop_jumbo,,,,,,,,,
690e744,CVE-2009-3080,drivers/scsi/gdth.c,gdth_read_event,,,,,,,,,,
ffcfb8d,CVE-2009-2903,drivers/net/appletalk/ipddp.c,ipddp_xmit,,,,,,,,,,
ffcfb8d,CVE-2009-2903,net/appletalk/aarp.c,aarp_send_ddp,,,,,,,,,,
ffcfb8d,CVE-2009-2903,net/appletalk/ddp.c,handle_ip_over_ddp,atalk_route_packet,atalk_rcv,atalk_sendmsg,,,,,,,
8faece5,CVE-2009-0787,fs/ecryptfs/crypto.c,ecryptfs_write_metadata_to_contents,ecryptfs_write_metadata_to_xattr,ecryptfs_get_zeroed_pages,ecryptfs_write_metadata,,,,,,,
dbda6ac,CVE-2009-0029,arch/mips/Kconfig,,,,,,,,,,,
dbda6ac,CVE-2009-0029,arch/mips/kernel/linux32.c,,,,,,,,,,,
dbda6ac,CVE-2009-0029,arch/mips/kernel/scall32-o32.S,,,,,,,,,,,
dbda6ac,CVE-2009-0029,arch/mips/kernel/scall64-64.S,,,,,,,,,,,
dbda6ac,CVE-2009-0029,arch/mips/kernel/scall64-n32.S,,,,,,,,,,,
dbda6ac,CVE-2009-0029,arch/mips/kernel/scall64-o32.S,,,,,,,,,,,
dbda6ac,CVE-2009-0029,arch/mips/kernel/signal.c,,,,,,,,,,,
dbda6ac,CVE-2009-0029,arch/mips/kernel/signal32.c,,,,,,,,,,,
dbda6ac,CVE-2009-0029,arch/mips/kernel/syscall.c,,,,,,,,,,,
dbda6ac,CVE-2009-0029,arch/mips/mm/cache.c,,,,,,,,,,,
50fee1d,CVE-2009-0676,net/core/sock.c,sock_getsockopt,,,,,,,,,,
67605d6,CVE-2009-0029,arch/sparc/Kconfig,,,,,,,,,,,
2668945,CVE-2009-0029,arch/s390/kernel/compat_wrapper.S,,,,,,,,,,,
2668945,CVE-2009-0029,arch/s390/kernel/entry.h,,,,,,,,,,,
2668945,CVE-2009-0029,arch/s390/kernel/process.c,,,,,,,,,,,
2668945,CVE-2009-0029,arch/s390/kernel/signal.c,,,,,,,,,,,
2668945,CVE-2009-0029,arch/s390/kernel/sys_s390.c,,,,,,,,,,,
2668945,CVE-2009-0029,arch/s390/kernel/syscalls.S,,,,,,,,,,,
2b66421,CVE-2009-0029,fs/pipe.c,,,,,,,,,,,
2b66421,CVE-2009-0029,include/linux/syscalls.h,,,,,,,,,,,
d4e8204,CVE-2009-0029,fs/eventfd.c,,,,,,,,,,,
d4e8204,CVE-2009-0029,fs/pipe.c,,,,,,,,,,,
d4e8204,CVE-2009-0029,fs/readdir.c,,,,,,,,,,,
d4e8204,CVE-2009-0029,fs/select.c,,,,,,,,,,,
d4e8204,CVE-2009-0029,fs/timerfd.c,,,,,,,,,,,
d4e8204,CVE-2009-0029,include/linux/syscalls.h,,,,,,,,,,,
d4e8204,CVE-2009-0029,kernel/signal.c,,,,,,,,,,,
836f92a,CVE-2009-0029,fs/signalfd.c,,,,,,,,,,,
836f92a,CVE-2009-0029,fs/splice.c,,,,,,,,,,,
836f92a,CVE-2009-0029,fs/timerfd.c,,,,,,,,,,,
836f92a,CVE-2009-0029,kernel/futex.c,,,,,,,,,,,
836f92a,CVE-2009-0029,kernel/sys.c,,,,,,,,,,,
6559eed8,CVE-2009-0029,fs/open.c,,,,,,,,,,,
6559eed8,CVE-2009-0029,fs/stat.c,,,,,,,,,,,
